"TimeCreated","Id","LevelDisplayName","Message"
"29/07/2025 5:47:01 pm","1","Information","The system time has changed to ?2025?-?07?-?29T09:47:01.113910000Z from ?2025?-?07?-?29T09:47:01.113731600Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume4\Windows\System32\svchost.exe' (PID 13216).

RTC time: ?2025?-?07?-?29T17:47:01.113910000Z
Current time zone bias: -480
RTC time is in UTC: false
System time was based on RTC time: false"
"29/07/2025 5:47:01 pm","24","Information","The time zone information was refreshed with exit reason 0. Current time zone bias is -480."
"29/07/2025 5:47:01 pm","1","Information","The system time has changed to ?2025?-?07?-?29T09:47:01.112160800Z from ?2025?-?07?-?29T09:47:01.111761600Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume4\Windows\System32\svchost.exe' (PID 13216).

RTC time: ?2025?-?07?-?29T17:47:01.112160800Z
Current time zone bias: -480
RTC time is in UTC: false
System time was based on RTC time: false"
"29/07/2025 5:47:01 pm","24","Information","The time zone information was refreshed with exit reason 0. Current time zone bias is -480."
"29/07/2025 5:47:01 pm","35","Information","The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->20.189.79.72:123) with reference id 1213185300. Current local stratum number is 4."
"29/07/2025 5:47:01 pm","1","Information","The system time has changed to ?2025?-?07?-?29T09:47:01.109488700Z from ?2025?-?07?-?29T09:47:02.162371000Z.
Time Delta: -1052 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume4\Windows\System32\svchost.exe' (PID 13216).

RTC time: ?2025?-?07?-?29T17:47:01.109488700Z
Current time zone bias: -480
RTC time is in UTC: false
System time was based on RTC time: false"
"29/07/2025 5:47:01 pm","24","Information","The time zone information was refreshed with exit reason 0. Current time zone bias is -480."
"29/07/2025 5:47:02 pm","37","Information","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->20.189.79.72:123)."
"29/07/2025 5:04:11 pm","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"29/07/2025 5:01:33 pm","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"29/07/2025 4:44:55 pm","16","Information","The access history in hive \??\C:\ProgramData\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\S-1-5-21-482037123-2649378654-2062196287-1001\SystemAppData\Helium\Cache\136ba9c7fd56ca92_COM15.dat was cleared updating 1 keys and creating 1 modified pages."
"29/07/2025 4:43:13 pm","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user GALANT\Trinity SID (S-1-5-21-482037123-2649378654-2062196287-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"29/07/2025 4:40:08 pm","16","Information","The access history in hive \??\C:\Users\Trinity\AppData\Local\Packages\Microsoft.WindowsCamera_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages."
"29/07/2025 4:39:47 pm","7045","Information","A service was installed in the system.

Service Name:  USB Video Device (WDM)
Service File Name:  \SystemRoot\System32\Drivers\usbvideo.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
"29/07/2025 4:24:26 pm","1796","Error","The Secure Boot update failed to update a Secure Boot variable with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
"29/07/2025 4:24:26 pm","1796","Error","The Secure Boot update failed to update a Secure Boot variable with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
"29/07/2025 3:27:01 pm","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"29/07/2025 3:24:06 pm","7040","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"29/07/2025 3:23:15 pm","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user GALANT\Trinity SID (S-1-5-21-482037123-2649378654-2062196287-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"29/07/2025 2:46:34 pm","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user GALANT\Trinity SID (S-1-5-21-482037123-2649378654-2062196287-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"29/07/2025 2:08:26 pm","16","Information","The access history in hive \??\C:\Users\Trinity\AppData\Local\Packages\Clipchamp.Clipchamp_yxz26nhyzhsrt\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages."
"29/07/2025 2:08:26 pm","16","Information","The access history in hive \??\C:\Users\Trinity\AppData\Local\Packages\Clipchamp.Clipchamp_yxz26nhyzhsrt\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages."
"29/07/2025 12:18:11 pm","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user GALANT\Trinity SID (S-1-5-21-482037123-2649378654-2062196287-1001) from address LocalHost (Using LRPC) running in the application container MicrosoftWindows.Client.WebExperience_525.15301.20.0_x64__cw5n1h2txyewy SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
